Flight Number,From City,To City,Airline,Flight Status,Passengers,Economy Class,Business Class,First Class,Departure Time,Arrival Time
TG0223,Udon Thani,Bangkok,Thai Meow Air,Delayed,118,1107,4496,9959,27/12/2024 03:46:00,27/12/2024 04:39:00
TG0224,Phuket,Bangkok,Thai Meow Air,Delayed,100,974,4018,11624,25/12/2024 18:02:00,25/12/2024 19:16:00
TG0225,Nakhon Ratchasima,Surat Thani,kaningpom jet,Delayed,196,948,4683,8074,21/12/2024 12:37:00,21/12/2024 14:00:00
TG0226,Udon Thani,Phuket,Porsche Air,Delayed,74,1341,4061,9707,30/01/2025 16:04:00,30/01/2025 17:12:00
TG0227,Chiang Mai,Bangkok,kaningpom jet,Delayed,195,1379,2769,10811,24/12/2024 09:50:00,24/12/2024 10:20:00
TG0228,Nakhon Ratchasima,Bangkok,MJ Airways,Cancelled,132,1347,2258,7117,31/12/2024 18:51:00,31/12/2024 20:31:00
TG0229,Nakhon Ratchasima,Bangkok,MJ Airways,Cancelled,174,1193,3858,10529,02/01/2025 23:10:00,03/01/2025 00:20:00
TG0230,Chiang Mai,Krabi,Porsche Air,Delayed,68,873,4195,10573,31/12/2024 08:54:00,31/12/2024 10:36:00
TG0231,Koh Samui,Surat Thani,Thai Meow Air,Delayed,148,1097,4548,8935,05/12/2024 22:00:00,06/12/2024 00:00:00
TG0232,Hat Yai,Koh Samui,Thai Meow Air,Delayed,144,1194,3484,10535,02/12/2024 22:55:00,03/12/2024 00:04:00
TG0233,Chiang Rai,Chiang Mai,MJ Airways,Delayed,102,1339,3575,10828,25/01/2025 23:20:00,26/01/2025 00:13:00
TG0234,Bangkok,Chiang Mai,MJ Airways,Delayed,164,1229,3613,6151,03/01/2025 22:38:00,03/01/2025 23:45:00
TG0235,Nakhon Ratchasima,Bangkok,MJ Airways,Delayed,200,999,4993,8745,31/12/2024 20:48:00,31/12/2024 22:41:00
TG0236,Chiang Mai,Surat Thani,MJ Airways,On Time,164,1223,3306,11769,15/01/2025 11:57:00,15/01/2025 12:33:00
TG0237,Phuket,Surat Thani,Porsche Air,Delayed,197,861,2371,8688,09/12/2024 12:02:00,09/12/2024 13:21:00
TG0238,Nakhon Ratchasima,Hat Yai,kaningpom jet,Delayed,164,1141,3164,6403,15/01/2025 01:38:00,15/01/2025 02:29:00
TG0239,Udon Thani,Chiang Mai,Porsche Air,Delayed,158,844,2960,9122,05/12/2024 20:18:00,05/12/2024 22:01:00
TG0240,Hat Yai,Bangkok,PhraoAirAsia,Delayed,130,888,4305,11884,18/01/2025 19:48:00,18/01/2025 20:40:00
TG0241,Udon Thani,Chiang Mai,MJ Airways,Delayed,124,833,4336,9486,01/12/2024 05:49:00,01/12/2024 07:40:00
TG0242,Hat Yai,Phuket,MJ Airways,Delayed,110,1445,3534,9621,28/12/2024 08:22:00,28/12/2024 09:08:00
TG0243,Phuket,Bangkok,Porsche Air,Cancelled,151,1032,4746,7918,03/12/2024 08:57:00,03/12/2024 10:51:00
TG0244,Koh Samui,Bangkok,kaningpom jet,Delayed,126,836,4754,10073,11/01/2025 02:33:00,11/01/2025 03:18:00
TG0245,Bangkok,Phuket,kaningpom jet,Delayed,56,1259,4780,10741,15/12/2024 01:03:00,15/12/2024 02:13:00
TG0246,Bangkok,Koh Samui,Porsche Air,Delayed,71,1090,3089,10155,19/12/2024 02:33:00,19/12/2024 03:11:00
TG0247,Chiang Mai,Koh Samui,MJ Airways,Cancelled,69,997,3229,11594,09/12/2024 18:04:00,09/12/2024 19:04:00
TG0248,Hat Yai,Bangkok,kaningpom jet,Cancelled,73,1054,4387,10541,14/01/2025 04:50:00,14/01/2025 06:18:00
TG0249,Hat Yai,Chiang Rai,Porsche Air,Delayed,179,880,4607,11919,05/12/2024 11:25:00,05/12/2024 11:59:00
TG0250,Phuket,Hat Yai,PhraoAirAsia,Cancelled,142,1246,4641,6966,04/01/2025 02:23:00,04/01/2025 03:15:00
TG0251,Nakhon Ratchasima,Bangkok,Porsche Air,Delayed,76,936,2420,9275,03/01/2025 10:53:00,03/01/2025 12:39:00
TG0253,Udon Thani,Bangkok,Porsche Air,Cancelled,54,989,3333,7681,01/01/2025 03:28:00,01/01/2025 04:42:00
TG0254,Phuket,Krabi,Porsche Air,Delayed,129,929,3734,9103,25/01/2025 12:26:00,25/01/2025 13:49:00
TG0255,Phuket,Hat Yai,Porsche Air,Delayed,136,1009,2649,10767,15/12/2024 19:24:00,15/12/2024 20:29:00
TG0257,Krabi,Bangkok,MJ Airways,Delayed,82,1168,4834,10180,17/01/2025 13:41:00,17/01/2025 14:24:00
TG0258,Surat Thani,Chiang Rai,Thai Meow Air,Delayed,188,1091,3181,10186,30/01/2025 03:51:00,30/01/2025 05:03:00
TG0260,Krabi,Surat Thani,Porsche Air,On Time,195,1176,2693,11159,25/01/2025 15:08:00,25/01/2025 16:23:00
TG0261,Koh Samui,Bangkok,MJ Airways,Delayed,176,1147,2554,6757,31/01/2025 01:38:00,31/01/2025 02:32:00
TG0262,Udon Thani,Bangkok,PhraoAirAsia,Cancelled,155,968,4514,8226,21/12/2024 06:15:00,21/12/2024 07:36:00
TG0264,Udon Thani,Chiang Mai,Porsche Air,Delayed,52,976,4690,7610,18/12/2024 14:56:00,18/12/2024 16:43:00
TG0265,Chiang Rai,Hat Yai,PhraoAirAsia,Delayed,200,1337,4845,8427,31/12/2024 13:44:00,31/12/2024 15:41:00
TG0266,Surat Thani,Hat Yai,Thai Meow Air,On Time,119,1123,4449,10647,13/12/2024 14:41:00,13/12/2024 16:35:00
TG0267,Koh Samui,Bangkok,MJ Airways,Delayed,162,1308,4083,10223,13/12/2024 00:10:00,13/12/2024 00:47:00
TG0268,Udon Thani,Bangkok,Thai Meow Air,Cancelled,115,914,4936,9279,09/12/2024 04:56:00,09/12/2024 06:42:00
TG0269,Nakhon Ratchasima,Bangkok,MJ Airways,Cancelled,150,829,2355,6013,28/12/2024 16:03:00,28/12/2024 17:49:00
TG0270,Nakhon Ratchasima,Bangkok,Thai Meow Air,Delayed,68,1089,4925,7187,09/12/2024 14:50:00,09/12/2024 15:31:00
TG0271,Krabi,Phuket,MJ Airways,Delayed,194,946,3720,6486,25/01/2025 03:40:00,25/01/2025 04:26:00
TG0272,Hat Yai,Krabi,Porsche Air,Cancelled,160,1073,3730,7915,29/12/2024 08:41:00,29/12/2024 10:29:00
TG0273,Udon Thani,Bangkok,Porsche Air,Delayed,100,1021,4836,9467,19/01/2025 20:28:00,19/01/2025 21:42:00
TG0274,Chiang Rai,Krabi,kaningpom jet,Delayed,73,1140,2081,6359,24/12/2024 05:30:00,24/12/2024 07:09:00
TG0275,Phuket,Bangkok,kaningpom jet,Delayed,135,1309,4988,10427,14/01/2025 10:43:00,14/01/2025 11:44:00
TG0276,Surat Thani,Bangkok,PhraoAirAsia,On Time,150,1314,4086,11942,25/12/2024 10:39:00,25/12/2024 11:42:00
TG0277,Phuket,Koh Samui,MJ Airways,Delayed,142,869,2549,11540,13/01/2025 03:12:00,13/01/2025 05:08:00
TG0278,Chiang Rai,Bangkok,kaningpom jet,Cancelled,84,1157,2362,11202,20/01/2025 20:26:00,20/01/2025 21:06:00
TG0279,Bangkok,Chiang Mai,Thai Meow Air,On Time,115,1356,2552,8251,05/01/2025 00:38:00,05/01/2025 01:57:00
TG0280,Chiang Mai,Koh Samui,kaningpom jet,Delayed,169,1122,3903,8739,31/01/2025 09:40:00,31/01/2025 10:49:00
TG0281,Nakhon Ratchasima,Bangkok,PhraoAirAsia,Delayed,140,1423,3668,6080,01/12/2024 05:00:00,01/12/2024 06:59:00
TG0282,Koh Samui,Phuket,Thai Meow Air,Cancelled,128,891,3459,6540,03/12/2024 01:20:00,03/12/2024 03:12:00
TG0283,Koh Samui,Phuket,Porsche Air,Delayed,112,1141,4454,11989,04/01/2025 00:22:00,04/01/2025 01:05:00
TG0284,Bangkok,Koh Samui,Thai Meow Air,Delayed,115,1223,4725,10104,27/12/2024 21:08:00,27/12/2024 21:48:00
TG0285,Bangkok,Surat Thani,Porsche Air,Delayed,143,1351,4851,10241,25/12/2024 17:55:00,25/12/2024 19:38:00
TG0286,Nakhon Ratchasima,Surat Thani,Thai Meow Air,Delayed,108,1462,2542,11872,07/01/2025 22:24:00,08/01/2025 00:21:00
TG0287,Hat Yai,Koh Samui,PhraoAirAsia,Delayed,186,1214,3799,6236,23/01/2025 14:44:00,23/01/2025 16:38:00
TG0289,Krabi,Hat Yai,PhraoAirAsia,Cancelled,145,1457,3624,7244,14/01/2025 22:10:00,15/01/2025 00:00:00
TG0290,Phuket,Chiang Rai,Thai Meow Air,Delayed,59,1074,2239,7689,21/01/2025 18:23:00,21/01/2025 19:55:00
TG0291,Chiang Rai,Bangkok,Porsche Air,Delayed,63,843,3935,9422,18/01/2025 23:09:00,19/01/2025 00:08:00
TG0293,Nakhon Ratchasima,Krabi,PhraoAirAsia,Delayed,162,883,4442,9195,24/12/2024 08:47:00,24/12/2024 09:27:00
TG0294,Chiang Rai,Koh Samui,Thai Meow Air,Cancelled,88,1233,4893,6101,31/01/2025 21:00:00,31/01/2025 22:33:00
TG0295,Surat Thani,Hat Yai,kaningpom jet,Delayed,62,893,4023,11819,22/12/2024 01:09:00,22/12/2024 03:01:00
TG0296,Bangkok,Koh Samui,PhraoAirAsia,Delayed,105,974,3848,7403,30/01/2025 01:06:00,30/01/2025 02:28:00
TG0297,Phuket,Koh Samui,PhraoAirAsia,Delayed,75,1205,4021,11113,01/01/2025 11:55:00,01/01/2025 13:13:00
TG0298,Krabi,Chiang Mai,Porsche Air,Delayed,184,1001,3938,11179,15/01/2025 13:24:00,15/01/2025 14:01:00
TG0299,Krabi,Bangkok,kaningpom jet,Delayed,159,1298,2060,7210,17/01/2025 02:09:00,17/01/2025 02:44:00
TG0300,Hat Yai,Chiang Rai,PhraoAirAsia,Delayed,180,1280,2024,9346,04/01/2025 19:10:00,04/01/2025 20:05:00
TG0301,Nakhon Ratchasima,Surat Thani,PhraoAirAsia,Delayed,57,1129,2160,8945,17/12/2024 06:15:00,17/12/2024 06:48:00
TG0302,Krabi,Chiang Rai,PhraoAirAsia,Delayed,173,1340,4932,11403,29/01/2025 17:22:00,29/01/2025 19:09:00
TG0303,Hat Yai,Bangkok,kaningpom jet,Delayed,103,1009,3406,10618,18/01/2025 21:31:00,18/01/2025 23:28:00
TG0304,Koh Samui,Chiang Mai,Porsche Air,Delayed,113,1417,2367,7987,20/12/2024 09:12:00,20/12/2024 10:53:00
TG0305,Udon Thani,Koh Samui,kaningpom jet,Cancelled,148,1375,2116,7981,25/12/2024 19:41:00,25/12/2024 20:49:00
TG0306,Hat Yai,Bangkok,kaningpom jet,Delayed,165,816,4020,6784,05/01/2025 03:45:00,05/01/2025 04:56:00
TG0307,Surat Thani,Hat Yai,kaningpom jet,Delayed,152,906,4026,8684,10/01/2025 14:46:00,10/01/2025 15:56:00
TG0308,Nakhon Ratchasima,Phuket,kaningpom jet,Delayed,104,964,2016,9846,25/01/2025 03:47:00,25/01/2025 04:53:00
TG0309,Bangkok,Hat Yai,kaningpom jet,Cancelled,61,1406,2948,7851,28/01/2025 07:40:00,28/01/2025 09:07:00
TG0310,Chiang Mai,Bangkok,kaningpom jet,Cancelled,99,1336,4266,9832,23/12/2024 02:10:00,23/12/2024 02:41:00
TG0311,Udon Thani,Chiang Mai,kaningpom jet,Delayed,87,1428,4256,10607,18/12/2024 22:52:00,18/12/2024 23:30:00
TG0312,Nakhon Ratchasima,Bangkok,kaningpom jet,Delayed,116,991,2814,9797,25/01/2025 00:04:00,25/01/2025 01:28:00
TG0313,Krabi,Bangkok,MJ Airways,Delayed,197,995,4654,7782,04/01/2025 11:11:00,04/01/2025 11:41:00
TG0315,Koh Samui,Chiang Rai,Thai Meow Air,On Time,135,1107,3876,9272,27/12/2024 07:56:00,27/12/2024 09:14:00
TG0316,Nakhon Ratchasima,Krabi,MJ Airways,Delayed,81,936,2172,9238,01/01/2025 12:04:00,01/01/2025 13:12:00
TG0317,Phuket,Chiang Rai,Thai Meow Air,Delayed,200,893,4643,7962,22/01/2025 00:42:00,22/01/2025 02:09:00
TG0318,Udon Thani,Phuket,PhraoAirAsia,Delayed,146,887,3143,9041,17/12/2024 23:44:00,18/12/2024 00:26:00
TG0319,Nakhon Ratchasima,Bangkok,MJ Airways,Delayed,73,960,3591,10187,26/01/2025 12:22:00,26/01/2025 14:03:00
TG0320,Phuket,Surat Thani,kaningpom jet,Delayed,167,947,3378,6781,31/12/2024 11:55:00,31/12/2024 12:45:00
TG0321,Surat Thani,Koh Samui,MJ Airways,On Time,191,1384,4349,8985,06/01/2025 13:37:00,06/01/2025 15:32:00
TG0322,Hat Yai,Bangkok,Porsche Air,Cancelled,88,1255,3361,6328,29/12/2024 16:33:00,29/12/2024 18:03:00
TG0323,Koh Samui,Phuket,Thai Meow Air,Delayed,68,887,2432,7374,01/12/2024 18:43:00,01/12/2024 19:21:00
TG0325,Krabi,Koh Samui,Porsche Air,Cancelled,186,813,4007,7164,07/12/2024 02:14:00,07/12/2024 03:15:00
TG0326,Hat Yai,Phuket,Porsche Air,Cancelled,144,1114,4910,6610,27/01/2025 19:58:00,27/01/2025 20:39:00
TG0327,Chiang Rai,Bangkok,MJ Airways,Delayed,94,1393,3413,7923,27/12/2024 13:06:00,27/12/2024 13:48:00
TG0328,Udon Thani,Bangkok,PhraoAirAsia,Delayed,82,920,2377,8280,13/01/2025 17:23:00,13/01/2025 19:16:00
TG0329,Koh Samui,Chiang Rai,PhraoAirAsia,On Time,119,1081,2231,8309,14/12/2024 04:56:00,14/12/2024 06:41:00
TG0330,Surat Thani,Chiang Mai,Porsche Air,On Time,165,1226,2737,9624,15/01/2025 08:07:00,15/01/2025 09:29:00
TG0331,Phuket,Surat Thani,Porsche Air,Cancelled,90,1270,2881,7463,12/01/2025 13:43:00,12/01/2025 14:33:00
TG0332,Bangkok,Hat Yai,MJ Airways,Cancelled,125,1084,2994,7717,31/01/2025 20:12:00,31/01/2025 21:53:00
TG0333,Krabi,Bangkok,PhraoAirAsia,Delayed,53,1076,3820,6278,04/01/2025 11:01:00,04/01/2025 12:31:00
TG0335,Krabi,Hat Yai,PhraoAirAsia,Delayed,180,1124,4116,10453,26/01/2025 09:05:00,26/01/2025 10:35:00
TG0336,Chiang Mai,Bangkok,Porsche Air,Delayed,114,1334,4773,8583,05/01/2025 07:23:00,05/01/2025 08:26:00
TG0337,Bangkok,Chiang Mai,Thai Meow Air,Delayed,145,1027,4504,6251,22/01/2025 05:33:00,22/01/2025 07:26:00
TG0338,Bangkok,Phuket,MJ Airways,Delayed,162,1395,3788,9962,28/01/2025 09:34:00,28/01/2025 10:49:00
TG0339,Chiang Mai,Bangkok,PhraoAirAsia,Delayed,149,1447,2370,6932,30/01/2025 06:07:00,30/01/2025 06:53:00
TG0340,Udon Thani,Bangkok,PhraoAirAsia,On Time,63,1373,4977,10283,22/12/2024 05:44:00,22/12/2024 06:49:00
TG0341,Krabi,Bangkok,Thai Meow Air,Cancelled,141,1453,3398,9106,26/01/2025 16:41:00,26/01/2025 17:17:00
TG0342,Surat Thani,Koh Samui,Thai Meow Air,Cancelled,86,1317,3584,6344,02/12/2024 09:52:00,02/12/2024 11:47:00
TG0344,Phuket,Koh Samui,PhraoAirAsia,Cancelled,199,1056,3123,7612,14/01/2025 02:01:00,14/01/2025 03:37:00
TG0346,Koh Samui,Bangkok,Thai Meow Air,Delayed,181,936,3605,11137,04/01/2025 01:24:00,04/01/2025 02:40:00
TG0347,Phuket,Bangkok,kaningpom jet,On Time,122,1007,3985,11727,19/01/2025 01:29:00,19/01/2025 02:18:00
TG0348,Hat Yai,Bangkok,MJ Airways,Delayed,182,1263,3635,7584,12/12/2024 03:24:00,12/12/2024 04:17:00
TG0349,Krabi,Bangkok,PhraoAirAsia,Delayed,147,939,4119,9877,19/12/2024 06:30:00,19/12/2024 07:18:00
TG0350,Krabi,Surat Thani,Thai Meow Air,On Time,107,804,4561,9530,29/12/2024 04:27:00,29/12/2024 05:54:00
TG0351,Phuket,Krabi,kaningpom jet,Delayed,147,1223,2129,8924,02/12/2024 10:20:00,02/12/2024 11:00:00
TG0352,Udon Thani,Bangkok,PhraoAirAsia,Delayed,178,1148,2199,6956,14/01/2025 02:37:00,14/01/2025 03:44:00
TG0353,Chiang Mai,Hat Yai,PhraoAirAsia,Delayed,54,1082,3124,7663,19/01/2025 09:25:00,19/01/2025 10:53:00
TG0354,Bangkok,Koh Samui,kaningpom jet,Cancelled,92,1386,4637,10893,01/01/2025 14:22:00,01/01/2025 15:55:00
TG0355,Udon Thani,Bangkok,PhraoAirAsia,Delayed,62,1233,3435,10961,21/01/2025 11:49:00,21/01/2025 12:30:00
TG0356,Hat Yai,Phuket,MJ Airways,Delayed,156,1019,2096,11993,08/12/2024 11:59:00,08/12/2024 13:49:00
TG0357,Hat Yai,Bangkok,kaningpom jet,Delayed,96,1173,3579,7264,31/01/2025 15:01:00,31/01/2025 16:35:00
TG0358,Phuket,Chiang Rai,MJ Airways,On Time,89,1090,4402,7549,11/12/2024 19:30:00,11/12/2024 20:42:00
TG0359,Hat Yai,Chiang Rai,MJ Airways,Cancelled,58,1363,3325,10371,08/01/2025 01:03:00,08/01/2025 02:15:00
TG0361,Udon Thani,Chiang Rai,MJ Airways,Delayed,146,1470,2100,6041,19/01/2025 02:53:00,19/01/2025 04:19:00
TG0362,Krabi,Chiang Mai,Porsche Air,Delayed,124,1237,2336,11324,18/01/2025 00:46:00,18/01/2025 01:47:00
TG0363,Chiang Mai,Bangkok,Thai Meow Air,Cancelled,200,1308,2112,7131,25/01/2025 10:32:00,25/01/2025 11:43:00
TG0364,Phuket,Bangkok,PhraoAirAsia,Delayed,67,1249,2889,8192,29/01/2025 18:55:00,29/01/2025 20:46:00
TG0365,Surat Thani,Krabi,Porsche Air,Delayed,107,1126,4987,9576,10/01/2025 18:17:00,10/01/2025 20:05:00
TG0366,Chiang Rai,Hat Yai,PhraoAirAsia,Delayed,55,1290,4568,10094,14/01/2025 12:36:00,14/01/2025 13:27:00
TG0367,Surat Thani,Chiang Mai,Thai Meow Air,Delayed,188,853,4259,8802,23/01/2025 03:51:00,23/01/2025 05:45:00
TG0368,Koh Samui,Phuket,Porsche Air,On Time,106,894,4990,10005,08/12/2024 10:40:00,08/12/2024 11:42:00
TG0369,Phuket,Chiang Rai,Thai Meow Air,Delayed,127,859,4624,7550,13/12/2024 09:11:00,13/12/2024 09:54:00
TG0370,Surat Thani,Bangkok,PhraoAirAsia,Cancelled,128,1136,2372,6676,09/12/2024 22:16:00,09/12/2024 23:58:00
TG0371,Udon Thani,Bangkok,kaningpom jet,Delayed,130,1466,3506,11252,22/12/2024 05:41:00,22/12/2024 07:12:00
TG0372,Chiang Rai,Koh Samui,kaningpom jet,Delayed,59,1436,2875,6303,17/01/2025 20:12:00,17/01/2025 22:08:00
TG0374,Krabi,Bangkok,PhraoAirAsia,On Time,140,963,4437,7920,24/12/2024 06:54:00,24/12/2024 08:20:00
TG0376,Phuket,Chiang Rai,PhraoAirAsia,Delayed,155,1370,2341,9889,12/12/2024 00:41:00,12/12/2024 02:27:00
TG0377,Koh Samui,Bangkok,PhraoAirAsia,Delayed,129,906,4328,8981,22/12/2024 23:35:00,23/12/2024 00:54:00
TG0378,Phuket,Koh Samui,kaningpom jet,Delayed,149,1001,3026,10350,29/12/2024 13:15:00,29/12/2024 15:00:00
TG0379,Koh Samui,Bangkok,PhraoAirAsia,Delayed,173,1100,4557,10555,12/01/2025 14:01:00,12/01/2025 14:38:00
TG0380,Koh Samui,Surat Thani,Thai Meow Air,Cancelled,198,1350,3132,11701,18/01/2025 15:11:00,18/01/2025 15:42:00
TG0381,Krabi,Bangkok,Thai Meow Air,Delayed,51,1479,4251,6360,20/01/2025 03:21:00,20/01/2025 04:49:00
TG0382,Nakhon Ratchasima,Surat Thani,PhraoAirAsia,Delayed,182,1448,2243,6494,05/12/2024 00:39:00,05/12/2024 01:28:00
TG0383,Phuket,Chiang Rai,kaningpom jet,On Time,133,813,2374,7808,10/01/2025 07:15:00,10/01/2025 08:52:00
TG0384,Udon Thani,Hat Yai,Thai Meow Air,Delayed,148,1334,2863,11392,15/01/2025 11:33:00,15/01/2025 13:15:00
TG0385,Krabi,Hat Yai,PhraoAirAsia,Delayed,180,1304,2065,7802,02/01/2025 01:00:00,02/01/2025 02:29:00
TG0386,Udon Thani,Bangkok,kaningpom jet,Cancelled,98,1009,4512,9589,28/01/2025 04:32:00,28/01/2025 06:28:00
TG0387,Hat Yai,Bangkok,MJ Airways,Delayed,195,1255,4418,7603,28/12/2024 11:26:00,28/12/2024 12:20:00
TG0388,Krabi,Phuket,PhraoAirAsia,Delayed,68,1268,2210,8322,22/12/2024 03:42:00,22/12/2024 04:36:00
TG0389,Nakhon Ratchasima,Chiang Mai,kaningpom jet,Delayed,97,1273,3135,11919,12/12/2024 21:07:00,12/12/2024 22:27:00
TG0390,Surat Thani,Bangkok,Thai Meow Air,Delayed,110,1372,3903,11089,29/12/2024 04:33:00,29/12/2024 05:13:00
TG0391,Koh Samui,Bangkok,PhraoAirAsia,Delayed,160,1200,4245,9127,24/01/2025 13:59:00,24/01/2025 15:34:00
TG0392,Udon Thani,Surat Thani,Porsche Air,On Time,62,856,2801,7354,23/12/2024 17:07:00,23/12/2024 17:44:00
TG0394,Chiang Rai,Krabi,Thai Meow Air,Delayed,147,1463,3154,8156,07/12/2024 12:59:00,07/12/2024 13:31:00
TG0397,Nakhon Ratchasima,Hat Yai,Thai Meow Air,On Time,96,1080,2539,7055,01/12/2024 14:50:00,01/12/2024 16:24:00
TG0398,Bangkok,Surat Thani,Porsche Air,Delayed,171,804,4792,6595,16/01/2025 07:38:00,16/01/2025 08:09:00
TG0399,Phuket,Bangkok,MJ Airways,Delayed,140,1412,2375,10243,19/01/2025 16:48:00,19/01/2025 18:05:00
TG0401,Chiang Rai,Phuket,kaningpom jet,Cancelled,80,1105,2839,9231,08/01/2025 23:06:00,09/01/2025 01:04:00
TG0402,Udon Thani,Bangkok,PhraoAirAsia,Delayed,124,1143,4028,8835,01/01/2025 03:43:00,01/01/2025 05:27:00
TG0403,Krabi,Bangkok,Thai Meow Air,On Time,113,1342,4845,8855,30/12/2024 10:05:00,30/12/2024 11:05:00
TG0404,Phuket,Bangkok,MJ Airways,Delayed,187,1366,3443,6609,12/12/2024 21:55:00,12/12/2024 22:38:00
TG0405,Phuket,Bangkok,Porsche Air,Delayed,84,953,4785,10012,17/01/2025 21:49:00,17/01/2025 22:40:00
TG0407,Hat Yai,Bangkok,Thai Meow Air,Delayed,178,1153,4352,8292,09/12/2024 21:09:00,09/12/2024 22:24:00
TG0408,Chiang Rai,Hat Yai,PhraoAirAsia,Delayed,185,1157,2945,9820,30/01/2025 20:13:00,30/01/2025 21:40:00
TG0409,Bangkok,Surat Thani,Thai Meow Air,On Time,186,1497,2848,6438,19/01/2025 06:23:00,19/01/2025 07:35:00
TG0410,Chiang Mai,Surat Thani,MJ Airways,Delayed,95,1207,2184,9806,15/12/2024 09:21:00,15/12/2024 10:01:00
TG0411,Chiang Rai,Hat Yai,Porsche Air,Delayed,189,1211,2319,7146,20/01/2025 18:18:00,20/01/2025 19:25:00
TG0412,Krabi,Surat Thani,Thai Meow Air,Cancelled,80,829,3466,11008,09/12/2024 16:40:00,09/12/2024 18:06:00
TG0413,Chiang Rai,Surat Thani,PhraoAirAsia,Delayed,198,1171,2901,6080,08/12/2024 21:44:00,08/12/2024 22:36:00
TG0414,Nakhon Ratchasima,Bangkok,kaningpom jet,Delayed,200,1431,3843,8558,12/01/2025 10:05:00,12/01/2025 11:12:00
TG0415,Chiang Rai,Bangkok,kaningpom jet,Cancelled,121,1302,3274,7158,28/12/2024 06:38:00,28/12/2024 07:24:00
TG0417,Surat Thani,Bangkok,kaningpom jet,Delayed,169,807,2573,11572,30/01/2025 17:25:00,30/01/2025 18:42:00
TG0418,Phuket,Bangkok,MJ Airways,Delayed,181,1417,4515,10909,27/12/2024 08:32:00,27/12/2024 09:38:00
TG0419,Koh Samui,Bangkok,MJ Airways,On Time,159,937,4093,7694,21/01/2025 22:53:00,21/01/2025 23:56:00
TG0420,Phuket,Koh Samui,MJ Airways,Delayed,111,1494,2992,10684,25/12/2024 15:39:00,25/12/2024 17:05:00
TG0421,Hat Yai,Bangkok,Thai Meow Air,Delayed,93,1176,3598,7915,04/01/2025 05:31:00,04/01/2025 07:14:00
TG0422,Phuket,Bangkok,Porsche Air,Delayed,75,948,3249,10789,02/12/2024 18:37:00,02/12/2024 19:13:00
TG0423,Koh Samui,Bangkok,Porsche Air,Delayed,84,1059,4821,9489,29/01/2025 06:53:00,29/01/2025 07:54:00
TG0424,Bangkok,Chiang Rai,kaningpom jet,Delayed,166,926,3356,6602,04/12/2024 16:16:00,04/12/2024 17:34:00
TG0425,Phuket,Surat Thani,Thai Meow Air,Delayed,153,1377,3597,11522,01/12/2024 07:31:00,01/12/2024 08:31:00
TG0426,Krabi,Hat Yai,kaningpom jet,Delayed,175,1332,4218,9206,20/01/2025 03:00:00,20/01/2025 04:16:00
TG0427,Nakhon Ratchasima,Bangkok,PhraoAirAsia,Delayed,190,1124,2759,6632,16/12/2024 07:15:00,16/12/2024 08:34:00
TG0428,Krabi,Hat Yai,Porsche Air,Delayed,185,912,2400,11250,12/12/2024 05:35:00,12/12/2024 07:09:00
TG0429,Hat Yai,Bangkok,Porsche Air,Cancelled,168,1450,2273,9226,22/12/2024 06:49:00,22/12/2024 08:11:00
TG0430,Koh Samui,Hat Yai,Porsche Air,On Time,115,1037,3340,10377,01/12/2024 03:00:00,01/12/2024 03:45:00
TG0432,Phuket,Surat Thani,PhraoAirAsia,Delayed,60,1160,3689,8573,31/12/2024 01:47:00,31/12/2024 02:32:00
TG0433,Hat Yai,Bangkok,Thai Meow Air,On Time,76,1355,3166,8779,12/01/2025 19:05:00,12/01/2025 20:48:00
TG0434,Chiang Mai,Chiang Rai,Porsche Air,On Time,196,863,2877,8622,04/01/2025 00:49:00,04/01/2025 01:27:00
TG0435,Chiang Rai,Bangkok,MJ Airways,Delayed,131,1254,2181,9129,27/01/2025 07:28:00,27/01/2025 09:13:00
TG0436,Chiang Mai,Hat Yai,MJ Airways,Cancelled,169,1065,2081,8341,23/12/2024 04:29:00,23/12/2024 05:28:00
TG0437,Bangkok,Phuket,MJ Airways,Delayed,107,1244,4246,11037,21/01/2025 08:19:00,21/01/2025 08:53:00
TG0438,Chiang Mai,Phuket,kaningpom jet,Delayed,113,1403,2028,9477,13/12/2024 16:15:00,13/12/2024 17:42:00
TG0439,Surat Thani,Bangkok,kaningpom jet,Delayed,103,1423,4532,6107,22/01/2025 11:49:00,22/01/2025 13:46:00
TG0440,Hat Yai,Chiang Rai,PhraoAirAsia,Delayed,180,1219,2484,6504,28/01/2025 21:50:00,28/01/2025 23:28:00
TG0441,Udon Thani,Surat Thani,PhraoAirAsia,Delayed,107,1139,4388,10933,28/12/2024 05:36:00,28/12/2024 06:46:00
TG0442,Chiang Rai,Koh Samui,PhraoAirAsia,On Time,139,1074,2498,11113,26/12/2024 04:28:00,26/12/2024 05:27:00
TG0444,Hat Yai,Chiang Mai,kaningpom jet,On Time,139,1169,2178,7841,16/12/2024 19:36:00,16/12/2024 21:34:00
TG0445,Nakhon Ratchasima,Bangkok,PhraoAirAsia,Cancelled,146,1026,4229,11145,31/01/2025 01:17:00,31/01/2025 01:58:00
TG0446,Koh Samui,Phuket,Thai Meow Air,Delayed,137,1025,3802,6268,09/12/2024 23:34:00,10/12/2024 00:19:00
TG0447,Nakhon Ratchasima,Koh Samui,Porsche Air,Delayed,200,1443,3438,8886,31/12/2024 08:40:00,31/12/2024 09:30:00
